number,name,status
614,Relaxing Grammar Restrictions On Decorators,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
613,Explicit Type Aliases,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
612,Parameter Specification Variables,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
608,Coordinated Python release,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
609,Python Packaging Authority (PyPA) Governance,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
611,The one million limit,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
610,Recording the Direct URL Origin of installed distributions,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
606,Python Compatibility Version,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
607,Reducing CPython’s Feature Delivery Latency,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
601,Forbid return/break/continue breaking out of finally,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
603,Adding a frozenmap type to collections,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
602,Annual Release Cycle for Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
604,Allow writing union types as ,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
605,A rolling feature release stream for CPython,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
599,The manylinux2014 Platform Tag,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
598,Introducing incremental feature releases,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
596,Python 3.9 Release Schedule,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
594,Removing dead batteries from the standard library,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
597,Add optional EncodingWarning,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
595,Improving bugs.python.org,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
593,Flexible function and variable annotations,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
